title,artist,duration,file_size,create_time,file_path
余火火 - 如果思念有生命（热播版） (1),未知艺术家,3:11,7.32MB,2025-04-08 10:55:18,/static/mp3/余火火 - 如果思念有生命（热播版） (1).mp3
余火火 - 如果思念有生命（热播版）,未知艺术家,3:11,7.32MB,2025-04-08 10:49:48,/static/mp3/余火火 - 如果思念有生命（热播版）.mp3
刀郎 - 冲动的惩罚,未知艺术家,7:54,18.42MB,2025-04-08 10:55:16,/static/mp3/刀郎 - 冲动的惩罚.mp3
刀郎 - 喀什噶尔胡杨,未知艺术家,6:15,14.73MB,2025-04-08 10:55:16,/static/mp3/刀郎 - 喀什噶尔胡杨.mp3
方大同 - XZMHXDXH,未知艺术家,3:28,7.98MB,2025-04-08 10:55:16,/static/mp3/方大同 - XZMHXDXH.mp3
方大同 - 回留,未知艺术家,3:56,9.05MB,2025-04-08 10:55:16,/static/mp3/方大同 - 回留.mp3
方大同 - 谁知爱是什么,未知艺术家,3:02,7.00MB,2025-04-08 10:55:18,/static/mp3/方大同 - 谁知爱是什么.mp3
方大同 - 那沙漠里的水,未知艺术家,2:41,6.17MB,2025-04-08 10:55:16,/static/mp3/方大同 - 那沙漠里的水.mp3
晨悠 CHENYO - 无二独一,未知艺术家,4:11,9.63MB,2025-04-08 10:55:12,/static/mp3/晨悠 CHENYO - 无二独一.mp3
"李玖哲,郑润泽 - 介质",未知艺术家,4:03,9.45MB,2025-04-08 10:55:18,"/static/mp3/李玖哲,郑润泽 - 介质.mp3"
薛之谦 - 租购,未知艺术家,4:30,10.44MB,2025-04-08 10:55:18,/static/mp3/薛之谦 - 租购.mp3
